latitude,longitude,land_cost_normalized,zone_name
12.9716,77.5946,0.95,MG Road / CBD
12.9352,77.6245,0.80,Koramangala
12.9698,77.7499,0.45,Whitefield
12.9279,77.6271,0.75,BTM Layout
13.0358,77.5970,0.55,Hebbal
12.9141,77.6399,0.70,Electronic City
13.0100,77.5500,0.50,Yeshwanthpur
12.8800,77.6400,0.60,Bommanahalli
13.0600,77.5800,0.40,Yelahanka
12.9500,77.6900,0.65,Marathahalli
12.9900,77.7200,0.35,Sarjapur
12.8600,77.5600,0.72,Bannerghatta
13.0800,77.6200,0.30,Devanahalli
12.9300,77.5300,0.85,Rajajinagar
13.0200,77.6800,0.48,KR Puram
