site_id,competition_score,nearest_competitor_km,competitor_name,ahp_score,predicted_demand,final_score,final_rank
Thanisandra Main Road,0.4556625576717993,2.2783127883589964,Shell Recharge Hennur,0.5958843010770007,0.454,0.5252746620728602,10
Hennur Main Road,0.44695022720234096,2.2347511360117047,Lithium Charging Station,0.6019474951970252,0.4942,0.5386237930389808,8
Cunningham Road,0.43480496230281007,2.1740248115140504,Ather Grid Point - 6000 Miles to Isle of Man,0.6140145618067907,0.616,0.5787682733639573,4
Vijayanagar,0.3685778358230791,1.8428891791153956,GT World Mall,0.7880996244417579,0.5099,0.6207353793854947,2
Kalyan Nagar,0.33183947231044175,1.6591973615522086,Lithium Charging Station,0.7662063631756404,0.4394,0.5812910760499085,3
Hebbal Flyover,0.27481372642024315,1.3740686321012157,Sixth Gear Cars,0.6426927745476638,0.4451,0.5098391325578805,11
Kammanahalli Main Road,0.19321107753018502,0.966055387650925,Lithium Charging Station,0.4926406119226154,0.3051,0.3764925214673447,13
Manyata Tech Park,0.15442074891675608,0.7721037445837804,Elements Mall,0.8653307006239728,0.6617,0.6620595000953375,1
Nagawara,0.10553993007371323,0.5276996503685661,"Adishakti Cars, Hebbal",0.33877777647900803,0.4748,0.3329368742542467,15
Brigade Road,0.0,0.11012258960111417,Vivanta by Taj Residency Road,0.7713278172051437,0.6234,0.5726839086025718,5
Residency Road,0.0,0.11012258960111417,Vivanta by Taj Residency Road,0.7713278172051437,0.6234,0.5726839086025718,5
MG Road Metro Station,0.0,0.34880440846557625,Forum Rex Walk,0.759575552119305,0.6416,0.5722677760596525,7
Jayanagar 4th Block,0.0,0.32095301132493753,AtherGrid Go Native Cafe,0.7019696029940856,0.5891,0.5277148014970428,9
Frazer Town,0.0,0.3567818352800311,Ather Grid Point - Moto Store & Cafe,0.5207167322652656,0.5094,0.4131783661326328,12
Ulsoor Lake Area,0.0,0.43265800928768094,RMZ MILLENIA,0.3934607856999077,0.5861,0.37256039284995385,14
