site_id,ahp_score,ahp_rank,predicted_demand,competition_score,nearest_competitor_km,final_score,final_rank
Manyata Tech Park,0.8653307006239728,1,0.6617,0.15442074891675608,0.7721037445837804,0.6620595000953375,1
Vijayanagar,0.7880996244417579,2,0.5099,0.3685778358230791,1.8428891791153956,0.6207353793854947,2
Kalyan Nagar,0.7662063631756404,5,0.4394,0.33183947231044175,1.6591973615522086,0.5812910760499085,3
Cunningham Road,0.6140145618067907,9,0.616,0.43480496230281007,2.1740248115140504,0.5787682733639573,4
Brigade Road,0.7713278172051437,3,0.6234,0.0,0.11012258960111417,0.5726839086025718,5
Residency Road,0.7713278172051437,3,0.6234,0.0,0.11012258960111417,0.5726839086025718,5
MG Road Metro Station,0.759575552119305,6,0.6416,0.0,0.34880440846557625,0.5722677760596525,7
Hennur Main Road,0.6019474951970252,10,0.4942,0.44695022720234096,2.2347511360117047,0.5386237930389808,8
Jayanagar 4th Block,0.7019696029940856,7,0.5891,0.0,0.32095301132493753,0.5277148014970428,9
Thanisandra Main Road,0.5958843010770007,11,0.454,0.4556625576717993,2.2783127883589964,0.5252746620728602,10
Hebbal Flyover,0.6426927745476638,8,0.4451,0.27481372642024315,1.3740686321012157,0.5098391325578805,11
Frazer Town,0.5207167322652656,12,0.5094,0.0,0.3567818352800311,0.4131783661326328,12
Kammanahalli Main Road,0.4926406119226154,13,0.3051,0.19321107753018502,0.966055387650925,0.3764925214673447,13
Ulsoor Lake Area,0.3934607856999077,14,0.5861,0.0,0.43265800928768094,0.37256039284995385,14
Nagawara,0.33877777647900803,15,0.4748,0.10553993007371323,0.5276996503685661,0.3329368742542467,15
